User Id,Name,Screen Name,Created At,Followers,Following,Favorites,Tweets,Lists,Language,Bio,Location,URL,Timezone,UTC Offset,Verified
288515819,Veterans for Obama,Vets4Obama,Wed Apr 27 00:23:10 +0000 2011,9187,165,0,709,89,,The official Twitter account for veterans and military families supporting President Barack Obama.,,http://t.co/5EtuDkKjlb,,,0
78599720,All On The Line VA,allontheline_va,Wed Sep 30 13:23:54 +0000 2009,23652,16284,1958,20490,523,,All On The Line is the grassroots movement to end gerrymandering and restore fairness to our elections and democracy ahead of 2021 redistricting. Formerly OFA.,"Richmond, Virginia",https://t.co/jpQ2qVZ9qq,,,1
78138151,La Casa Blanca NARA,LaCasaBlanca44,Mon Sep 28 22:16:35 +0000 2009,99297,189,84,5656,1283,,Esto es un archivo de una cuenta de la Administración de Obama y esta mantenido por la Administración Nacional de Archivos y Registros (NARA).,"Washington, DC, EE.UU.",https://t.co/OTH6srPzMw,,,1
50482949,All On The Line FL,allontheline_fl,Wed Jun 24 23:42:29 +0000 2009,40359,35599,235,13031,782,,All On The Line is the grassroots movement to end gerrymandering and restore fairness to our elections and democracy ahead of 2021 redistricting. Formerly OFA.,Florida,https://t.co/jpQ2qVZ9qq,,,1
21873714,RN Action,RNAction,Wed Feb 25 15:05:13 +0000 2009,16495,2305,3784,10119,340,,The American Nurses Association Government Affairs team leads the way for RN advocates on Capitol Hill. Follow us and advocate on behalf of nurses everywhere!,,http://t.co/IuOvSP4oPY,,,0
521550440,rumpelstiltskin rupia,cassandrarupia,Sun Mar 11 18:30:17 +0000 2012,230,429,20877,11784,2,,Easily amused. Easily unamused.,,,,,0
115759655,Jane Slusser,janeslusser,Fri Feb 19 21:06:39 +0000 2010,6041,2727,6368,12360,173,,National Organizing Director @Need2Impeach. Former Chief of Staff to @PhillyMayor @JimFKenney. @BarackObama alum.,"Philadelphia, PA",,,,0
142894598,Beau Biden Foundation,BeauBidenFdn,Wed May 12 01:27:36 +0000 2010,34204,996,122,1483,302,,501(c)(3) nonprofit organization honoring Beau Biden's life's work to protect children and confront abuse.,Delaware,https://t.co/6DvtWniUPn,,,1
95493980,All On The Line WI,allontheline_wi,Tue Dec 08 20:18:30 +0000 2009,17461,11638,360,10053,431,,All On The Line is the grassroots movement to end gerrymandering and restore fairness to our elections and democracy ahead of 2021 redistricting. Formerly OFA.,,https://t.co/jpQ2qVZ9qq,,,1
34012907,Ted Strickland,Ted_Strickland,Tue Apr 21 19:37:38 +0000 2009,16270,683,7,4418,687,,Former Governor of Ohio and U.S. Congressman.,Ohio,,,,1
24659718,Jed,TheJedReport,Mon Mar 16 06:27:05 +0000 2009,6061,619,1177,17377,287,,Engineer.,United States of America,,,,0
18320874,Jeremy Bird,jeremybird,Mon Dec 22 23:43:37 +0000 2008,36219,4514,21669,5588,800,,"@270Strategies Founding Partner; @DoBigThings President; @BGTX @iVoteFund Founder, Board; @BarackObama '12 National Field Dir; Go, @cardinals @arsenal",Chicago,https://t.co/WaDzZpqZib,,,1
